Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:43Z , 0.90625 , -0.6796875 , 0.08984375  , -0.09375 , 0.6640625000000001 , -0.91015625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:42Z , -0.37890625 , -0.73828125 , -0.15625  , -1.103125 , 0.37421875000000016 , -0.925
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:43Z , 0.90625 , -0.6796875 , 0.08984375  , -0.07499999999999996 , 0.3953125000000002 , -0.728125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:44Z , 0.70703125 , -0.63671875 , -0.1875  , -0.29296875 , 0.6726562500000001 , -1.1875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:44Z , 0.70703125 , -0.63671875 , -0.1875  , -0.234375 , 0.4107812500000001 , -0.9500000000000001
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:45Z , -0.80859375 , -0.09765625 , -0.30859375  , -1.80859375 , 0.78046875 , -1.30859375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:45Z , -0.80859375 , -0.09765625 , -0.30859375  , -1.4468750000000001 , 0.6048437500000001 , -1.046875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:46Z , -0.328125 , 0.796875 , -0.95703125  , -1.328125 , 0.959375 , -1.95703125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:46Z , -0.328125 , 0.796875 , -0.95703125  , -1.0625 , 0.926875 , -1.565625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:47Z , -0.87890625 , -0.55859375 , 0.16796875  , -1.87890625 , 0.6882812500000001 , -0.83203125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:47Z , -0.87890625 , -0.55859375 , 0.16796875  , -1.503125 , 0.43890625000000005 , -0.665625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:47Z , -0.8671875 , 0.328125 , -0.30859375  , -1.8671875 , 0.8656250000000001 , -1.30859375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:47Z , -0.8671875 , 0.328125 , -0.30859375  , -1.4937500000000001 , 0.7581250000000002 , -1.046875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:48Z , -0.71875 , 0.19921875 , -0.19921875  , -1.71875 , 0.83984375 , -1.19921875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:48Z , -0.71875 , 0.19921875 , -0.19921875  , -1.375 , 0.71171875 , -0.9593750000000001
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:49Z , -0.81640625 , -0.828125 , 0.08984375  , -1.81640625 , 0.6343750000000001 , -0.91015625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:49Z , -0.81640625 , -0.828125 , 0.08984375  , -1.453125 , 0.3418750000000002 , -0.728125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:50Z , -0.90625 , 0.4765625 , 0.08984375  , -1.90625 , 0.8953125000000001 , -0.91015625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:50Z , -0.90625 , 0.4765625 , 0.08984375  , -1.5250000000000001 , 0.8115625000000001 , -0.728125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:51Z , -0.75 , -0.13671875 , 0.1796875  , -1.75 , 0.77265625 , -0.8203125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:51Z , -0.75 , -0.13671875 , 0.1796875  , -1.4000000000000001 , 0.59078125 , -0.65625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:52Z , -0.609375 , -0.45703125 , -0.2890625  , -1.609375 , 0.70859375 , -1.2890625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:53Z , 1.25 , 0.578125 , 0.19921875  , 0.25 , 0.915625 , -0.80078125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:52Z , -0.609375 , -0.45703125 , -0.2890625  , -1.2875 , 0.47546875000000005 , -1.03125
